date,hour,weekday,pickup_zone,dropoff_zone,fare_dkk,duration_min,weather
2026-04-01,8,Wednesday,Nørreport,Centrum,89,12,clear
2026-04-01,8,Wednesday,Lufthavn,Centrum,310,35,clear
2026-04-01,9,Wednesday,Centrum,Østerbro,76,9,clear
2026-04-01,12,Wednesday,Rådhuspladsen,Frederiksberg,68,10,clear
2026-04-01,17,Wednesday,Nørreport,Nørrebro,82,11,clear
2026-04-01,17,Wednesday,Centrum,Lufthavn,295,32,clear
2026-04-01,18,Wednesday,Hoofdbanegård,Østerbro,91,13,clear
2026-04-02,7,Thursday,Lufthavn,Centrum,315,36,rain
2026-04-02,7,Thursday,Nørreport,Frederiksberg,95,13,rain
2026-04-02,8,Thursday,Centrum,Lufthavn,305,34,rain
2026-04-02,8,Thursday,Rådhuspladsen,Nørrebro,78,10,rain
2026-04-02,17,Thursday,Nørreport,Centrum,84,11,rain
2026-04-02,18,Thursday,Centrum,Østerbro,79,9,rain
2026-04-02,22,Thursday,Nørrebro,Centrum,65,8,rain
2026-04-03,8,Friday,Nørreport,Centrum,88,12,clear
2026-04-03,8,Friday,Lufthavn,Frederiksberg,298,31,clear
2026-04-03,12,Friday,Centrum,Rådhuspladsen,72,8,clear
2026-04-03,17,Friday,Nørreport,Nørrebro,86,12,clear
2026-04-03,22,Friday,Nørrebro,Centrum,71,9,clear
2026-04-03,23,Friday,Centrum,Østerbro,68,8,clear
2026-04-03,0,Friday,Nørrebro,Frederiksberg,74,10,clear
2026-04-04,14,Saturday,Centrum,Lufthavn,312,34,clear
2026-04-04,20,Saturday,Centrum,Nørrebro,69,9,clear
2026-04-04,21,Saturday,Rådhuspladsen,Nørrebro,66,8,clear
2026-04-04,22,Saturday,Nørrebro,Centrum,72,9,clear
2026-04-04,23,Saturday,Centrum,Østerbro,68,8,clear
2026-04-04,0,Saturday,Nørrebro,Frederiksberg,77,11,clear
2026-04-04,1,Saturday,Centrum,Valby,88,14,clear
2026-04-05,11,Sunday,Lufthavn,Centrum,308,33,clear
2026-04-05,12,Sunday,Centrum,Frederiksberg,71,9,clear
2026-04-07,8,Monday,Nørreport,Centrum,87,12,cloud
2026-04-07,8,Monday,Lufthavn,Centrum,302,34,cloud
2026-04-07,17,Monday,Nørreport,Nørrebro,84,11,cloud
2026-04-08,8,Tuesday,Nørreport,Centrum,90,12,rain
2026-04-08,8,Tuesday,Lufthavn,Frederiksberg,311,35,rain
2026-04-08,12,Tuesday,Centrum,Rådhuspladsen,75,9,rain
2026-04-08,17,Tuesday,Nørreport,Centrum,88,11,rain
2026-04-08,18,Tuesday,Centrum,Østerbro,83,10,rain
2026-04-09,8,Wednesday,Nørreport,Centrum,86,12,clear
2026-04-09,17,Wednesday,Centrum,Nørreport,81,10,clear
2026-04-09,19,Wednesday,Østerbro,Centrum,74,10,clear
2026-04-10,8,Thursday,Lufthavn,Centrum,307,34,clear
2026-04-10,8,Thursday,Nørreport,Frederiksberg,92,13,clear
2026-04-10,12,Thursday,Centrum,Rådhuspladsen,70,8,clear
2026-04-10,17,Thursday,Nørreport,Nørrebro,85,12,clear
2026-04-11,8,Friday,Nørreport,Centrum,89,12,cloud
2026-04-11,12,Friday,Centrum,Frederiksberg,74,10,cloud
2026-04-11,17,Friday,Nørreport,Centrum,87,11,cloud
2026-04-11,22,Friday,Nørrebro,Centrum,69,9,cloud
2026-04-11,23,Friday,Centrum,Østerbro,66,8,cloud
2026-04-12,21,Saturday,Rådhuspladsen,Nørrebro,68,9,clear
2026-04-12,22,Saturday,Nørrebro,Centrum,73,9,clear
2026-04-12,23,Saturday,Centrum,Frederiksberg,79,11,clear
2026-04-13,12,Sunday,Lufthavn,Centrum,305,33,clear
2026-04-14,8,Monday,Nørreport,Centrum,88,12,rain
2026-04-14,17,Monday,Centrum,Nørreport,82,10,rain
2026-04-15,8,Tuesday,Lufthavn,Centrum,309,35,clear
2026-04-15,8,Tuesday,Nørreport,Centrum,86,12,clear
2026-04-15,17,Tuesday,Nørreport,Nørrebro,83,11,clear
2026-04-16,8,Wednesday,Nørreport,Centrum,87,12,clear
2026-04-16,12,Wednesday,Centrum,Rådhuspladsen,71,9,clear
2026-04-17,8,Thursday,Lufthavn,Centrum,306,34,cloud
2026-04-17,17,Thursday,Nørreport,Centrum,85,11,cloud
2026-04-18,8,Friday,Nørreport,Centrum,90,12,clear
2026-04-18,17,Friday,Centrum,Lufthavn,299,32,clear
2026-04-18,22,Friday,Nørrebro,Centrum,70,9,clear
